,Open,High,Low,Close,Adj Close,Volume
2006-03-21 00:00:00,40.028,40.098019,39.631222,39.81794,26.075111,1400826.0
2006-03-22 00:00:00,39.4445,40.214718,39.39782,40.144699,26.289097,1846881.0
2006-03-23 00:00:00,39.957977,40.144699,39.65456,39.747921,26.029263,2328429.0
2006-03-24 00:00:00,39.841282,40.448116,39.724579,40.331417,26.411366,1485303.0
2006-03-27 00:00:00,40.331417,40.331417,39.631222,39.747921,26.029263,1051682.0
2006-03-28 00:00:00,39.81794,40.098019,39.677898,39.887959,26.120966,1772549.0
2006-03-29 00:00:00,39.86462,40.004658,39.4445,39.677898,25.983402,1066643.0
2006-03-30 00:00:00,39.747921,40.331417,39.747921,40.19138,26.319668,1234861.0
2006-03-31 00:00:00,40.028,40.40144,39.86462,40.098019,26.258522,1522960.0
2006-04-03 00:00:00,40.098019,40.378098,39.794601,40.378098,26.441931,1131386.0
2006-04-04 00:00:00,40.378098,40.6115,40.19138,40.494797,26.518356,1793954.0
2006-04-05 00:00:00,40.844898,41.451736,40.658176,40.821556,26.732334,2106479.0
2006-04-06 00:00:00,40.891579,41.941875,40.891579,41.498417,27.175585,2912128.0
2006-04-07 00:00:00,41.335037,41.801834,41.101635,41.124977,26.931038,1956461.0
2006-04-10 00:00:00,41.124977,41.148315,40.588158,40.868237,26.762909,1145752.0
2006-04-11 00:00:00,40.868237,40.938255,40.051338,40.284737,26.380798,1858894.0
2006-04-12 00:00:00,40.308079,40.331417,39.724579,39.86462,26.10568,1728517.0
2006-04-13 00:00:00,39.911301,40.028,39.4445,39.794601,26.059828,1437629.0
2006-04-18 00:00:00,39.794601,40.144699,39.677898,39.981319,26.182106,1510346.0
2006-04-19 00:00:00,40.331417,40.541477,39.981319,40.23806,26.350233,1940013.0
2006-04-20 00:00:00,40.098019,40.984936,40.098019,40.704857,26.65592,1800484.0
2006-04-21 00:00:00,40.891579,41.451736,40.774876,41.194996,26.976887,2227653.0
2006-04-24 00:00:00,41.148315,41.451736,40.728195,41.008278,26.854618,1627754.0
2006-04-25 00:00:00,41.148315,41.708473,41.148315,41.568436,27.221437,1962699.0
2006-04-26 00:00:00,41.521755,41.848515,40.868237,41.078297,26.900465,2284380.0
2006-04-27 00:00:00,40.938255,41.078297,40.051338,40.378098,26.441931,2849630.0
2006-04-28 00:00:00,40.19138,40.634838,39.911301,40.028,26.212673,2232816.0
2006-05-02 00:00:00,40.051338,40.331417,40.004658,40.121361,26.273806,1845660.0
2006-05-03 00:00:00,40.051338,40.798218,40.028,40.378098,26.441931,2381933.0
2006-05-04 00:00:00,40.284737,40.658176,40.098019,40.19138,26.319668,2091723.0
2006-05-05 00:00:00,40.144699,41.031616,40.144699,40.938255,26.808764,1398105.0
